transaction_id,account_id,txn_date,txn_type,amount
1,1,2025-03-31,fee,3258.64
2,1,2023-06-14,deposit,836.56
3,1,2025-04-03,deposit,-3633.67
4,1,2024-04-27,withdrawal,8887.93
5,1,2023-04-01,dividend,-4038.79
6,1,2024-01-15,withdrawal,-3799.4
7,1,2025-01-11,deposit,764.89
8,1,2024-09-20,dividend,4842.63
9,2,2025-03-03,deposit,7303.43
10,2,2024-03-25,dividend,-4839.34
11,2,2023-07-19,fee,
12,2,2024-09-21,withdrawal,-2457.76
13,3,2023-09-02,fee,4825.29
14,3,2023-03-30,withdrawal,9952.26
15,4,2023-12-28,dividend,5044.93
16,4,2024-08-23,dividend,-1995.34
17,4,2025-01-24,deposit,5554.33
18,4,2024-07-16,deposit,-732.59
19,4,2023-12-22,fee,9449.31
20,4,2023-08-20,fee,4095.45
21,4,2024-04-10,withdrawal,8945.71
22,4,2023-09-25,deposit,-2374.48
23,5,2024-07-26,deposit,-3914.21
24,5,2023-12-15,fee,9205.23
25,5,2025-06-16,fee,3068.55
26,5,2024-12-11,fee,1641.53
27,5,2024-07-30,dividend,2254.45
28,5,2025-02-14,withdrawal,94.91
29,6,2024-11-28,dividend,1910.81
30,6,2024-05-08,deposit,-3255.98
31,6,2024-01-27,deposit,4504.93
32,6,2024-11-24,withdrawal,5517.64
33,6,2024-02-27,fee,9331.69
34,6,2024-12-18,deposit,7482.66
35,6,2023-10-22,withdrawal,-3604.86
36,6,2023-03-19,fee,3318.27
37,7,2023-11-18,dividend,303.07
38,7,2023-07-07,fee,9206.77
39,7,2024-05-25,withdrawal,6056.68
40,8,2025-06-12,withdrawal,-1018.92
41,8,2023-07-27,withdrawal,7524.11
42,8,2023-06-09,fee,6684.08
43,9,2024-11-23,deposit,9336.7
44,9,2024-09-20,dividend,-4900.64
45,10,2025-05-18,deposit,2234.38
46,10,2024-05-19,fee,8471.82
47,10,2024-05-17,fee,-2256.92
48,10,2024-02-12,fee,-1668.61
49,10,2023-02-25,withdrawal,2886.03
50,10,2024-05-04,dividend,9094.82
51,10,2024-05-29,deposit,209.33
52,10,2024-04-13,withdrawal,9647.61
53,11,2023-11-20,dividend,5338.16
54,11,2024-11-21,deposit,-1838.71
55,11,2023-11-30,deposit,424.03
56,11,2023-07-11,fee,3228.45
57,11,2023-10-03,withdrawal,2070.18
58,11,2024-01-10,fee,-2241.29
59,11,2023-08-04,dividend,1286.39
60,12,2024-01-09,fee,7814.89
61,12,2024-04-06,fee,-2301.66
62,12,2024-08-12,withdrawal,5290.18
63,12,2025-01-08,deposit,-950.76
64,12,2024-07-22,withdrawal,1483.28
65,12,2023-07-20,dividend,-2812.34
66,12,2024-04-29,withdrawal,7085.03
67,12,2024-03-07,withdrawal,2493.97
68,13,2025-03-15,fee,2299.3
69,13,2024-07-29,fee,7877.53
70,13,2024-02-12,deposit,-3515.38
71,13,2023-03-03,withdrawal,-1767.99
72,13,2024-05-02,fee,7584.58
73,13,2024-04-05,deposit,6168.9
74,13,2024-01-05,fee,404.6
75,13,2023-12-19,fee,-4702.47
76,14,2025-06-07,fee,5193.79
77,14,2024-08-13,withdrawal,3638.42
78,15,2025-03-10,withdrawal,-730.87
79,15,2024-11-20,fee,2656.67
80,15,2023-03-22,dividend,716.06
81,15,2024-04-19,fee,4475.68
82,15,2025-06-08,withdrawal,-2486.37
83,15,2024-03-07,fee,4469.1
84,15,2025-05-19,dividend,8606.1
85,16,2023-12-18,withdrawal,-1576.73
86,16,2024-10-30,fee,-629.65
87,17,2023-10-05,dividend,8315.38
88,17,2025-02-04,fee,3803.8
89,17,2024-02-28,dividend,-2490.23
90,17,2023-05-09,deposit,5916.59
91,18,2025-01-31,fee,5510.45
92,18,2023-08-04,deposit,-2496.34
93,18,2023-04-08,deposit,-4043.11
94,18,2024-07-15,dividend,-4192.62
95,18,2024-06-20,dividend,6474.95
96,18,2023-04-17,deposit,-1063.22
97,18,2023-03-28,withdrawal,4822.49
98,19,2023-08-23,fee,-1289.05
99,19,2024-03-29,fee,4397.21
100,19,2024-06-23,withdrawal,7577.77
101,19,2023-02-05,deposit,4953.24
102,19,2025-06-03,fee,2142.32
103,20,2024-07-15,fee,1672.67
104,20,2024-08-28,withdrawal,3963.76
105,20,2024-06-20,dividend,4596.8
106,20,2023-12-22,fee,2224.78
107,20,2025-04-04,withdrawal,-3656.69
108,20,2024-01-10,fee,1183.06
109,20,2023-11-07,withdrawal,-4841.66
110,20,2023-12-19,withdrawal,-698.57
111,21,2024-12-05,deposit,8831.33
112,21,2023-11-03,dividend,-4863.01
113,21,2025-03-28,dividend,-606.16
114,21,2025-03-26,withdrawal,-4891.73
115,21,2023-07-13,fee,1176.04
116,21,2024-02-09,dividend,-1251.56
117,22,2025-04-28,dividend,675.37
118,22,2023-03-23,fee,1333.59
119,22,2024-06-13,withdrawal,6468.07
120,22,2023-10-19,fee,4726.86
121,22,2024-02-27,fee,-2179.99
122,22,2023-07-06,deposit,-2950.64
123,22,2024-10-14,deposit,1830.15
124,23,2024-12-18,fee,4341.31
125,23,2023-11-25,withdrawal,-4709.07
126,23,2024-07-01,deposit,-4668.04
127,23,2023-10-16,deposit,-962.07
128,23,2025-01-14,dividend,-4876.94
129,24,2023-01-16,withdrawal,2403.69
130,24,2024-03-06,fee,-326.35
131,25,2024-01-16,dividend,1955.27
132,25,2023-12-05,deposit,-3796.65
133,25,2023-02-27,withdrawal,-1002.45
134,25,2023-03-15,dividend,3147.88
135,25,2023-07-16,withdrawal,8435.48
136,25,2025-04-16,fee,723.66
137,25,2023-05-05,deposit,9618.98
138,25,2024-01-30,withdrawal,6568.38
139,26,2025-01-25,withdrawal,9918.03
140,26,2024-04-16,withdrawal,6029.84
141,26,2024-06-17,deposit,4990.12
142,26,2024-04-29,withdrawal,836.84
143,26,2023-11-27,fee,-2620.83
144,27,2025-02-01,deposit,9061.31
145,27,2023-09-17,deposit,2218.44
146,27,2023-07-23,fee,406.4
147,27,2025-06-03,deposit,5000.42
148,27,2023-08-30,deposit,4493.63
149,27,2023-01-16,fee,-2489.59
150,27,2024-08-21,fee,-3205.26
151,28,2023-01-10,withdrawal,9532.52
152,28,2024-12-05,dividend,3943.18
153,28,2025-02-28,fee,-3657.8
154,28,2024-05-26,withdrawal,-3628.98
155,28,2025-02-16,fee,4376.98
156,28,2023-12-31,deposit,4668.62
157,28,2023-05-09,deposit,2317.64
158,28,2024-07-25,fee,6828.43
159,29,2025-04-04,fee,8376.94
160,29,2023-01-22,withdrawal,5338.75
161,29,2025-01-11,fee,-2979.02
162,29,2024-05-11,deposit,5599.39
163,29,2024-07-09,fee,5455.57
164,29,2024-08-03,withdrawal,-2200.6
165,29,2023-11-28,fee,5986.04
166,29,2025-06-07,fee,7470.24
167,30,2023-03-12,withdrawal,2967.06
168,30,2023-10-30,dividend,7291.28
169,30,2024-04-09,fee,-4989.2
170,30,2025-01-21,dividend,-2216.99
171,30,2024-09-26,deposit,7852.44
172,30,2023-11-25,withdrawal,5815.05
173,30,2023-07-14,dividend,2861.05
174,30,2025-02-23,dividend,3272.02
175,31,2023-11-27,fee,1147.07
176,31,2023-04-24,fee,-3556.16
177,31,2023-02-14,deposit,7527.9
178,31,2023-07-02,withdrawal,8102.39
179,31,2023-04-20,withdrawal,2280.55
180,31,2023-02-02,deposit,3565.18
181,32,2024-11-04,dividend,2348.64
182,32,2023-02-20,fee,495.31
183,32,2023-01-14,deposit,8953.17
184,32,2024-11-02,withdrawal,2371.08
185,32,2024-04-24,deposit,7015.3
